[2026-07-06 22:44:12,823: INFO: main: Welcome to new project]
[2026-07-07 11:19:46,766: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-07-07 11:19:46,772: INFO: common: yaml file: params.yaml loaded successfully]
[2026-07-07 11:19:46,774: INFO: common: created directory at: artifacts]
[2026-07-07 11:19:46,778: INFO: common: created directory at: artifacts/data_ingestion]
[2026-07-07 11:19:46,779: INFO: 4024385839: Downloading data from https://drive.google.com/file/d/1X-l4QnuhIYMXm-Lgl2N0MO-xR75ly3OD/view?usp=sharing into file artifacts\data_ingestion\data.zip]
[2026-07-07 11:30:48,510: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-07-07 11:30:48,517: INFO: common: yaml file: params.yaml loaded successfully]
[2026-07-07 11:30:48,518: INFO: common: created directory at: artifacts]
[2026-07-07 11:30:48,521: INFO: common: created directory at: artifacts/data_ingestion]
[2026-07-07 11:30:48,523: INFO: 3661859627: Downloading data from https://drive.google.com/file/d/1X-l4QnuhIYMXm-Lgl2N0MO-xR75ly3OD/view?usp=sharing into file artifacts\data_ingestion\data.zip]
[2026-07-07 11:36:14,954: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-07-07 11:36:14,962: INFO: common: yaml file: params.yaml loaded successfully]
[2026-07-07 11:36:14,971: INFO: common: created directory at: artifacts]
[2026-07-07 11:36:14,975: INFO: common: created directory at: artifacts/data_ingestion]
[2026-07-07 11:36:14,976: INFO: 3661859627: Downloading data from https://drive.google.com/file/d/1X-l4QnuhIYMXm-Lgl2N0MO-xR75ly3OD/view?usp=sharing into file artifacts\data_ingestion\data.zip]
[2026-07-07 11:38:16,739: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-07-07 11:38:16,739: INFO: common: yaml file: params.yaml loaded successfully]
[2026-07-07 11:38:16,754: INFO: common: created directory at: artifacts]
[2026-07-07 11:38:16,754: INFO: common: created directory at: artifacts/data_ingestion]
[2026-07-07 11:38:16,759: INFO: 3661859627: Downloading data from https://drive.google.com/file/d/1X-l4QnuhIYMXm-Lgl2N0MO-xR75ly3OD/view?usp=sharing into file artifacts\data_ingestion\data.zip]
[2026-07-07 11:47:21,057: INFO: 3661859627: Downloaded data from https://drive.google.com/file/d/1X-l4QnuhIYMXm-Lgl2N0MO-xR75ly3OD/view?usp=sharing into file artifacts\data_ingestion\data.zip]
[2026-07-07 11:48:14,331: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-07-07 11:48:14,338: INFO: common: yaml file: params.yaml loaded successfully]
[2026-07-07 11:48:14,338: INFO: common: created directory at: artifacts]
[2026-07-07 11:48:14,344: INFO: common: created directory at: artifacts/data_transformation]
[2026-07-07 11:53:25,420: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-07-07 11:53:25,428: INFO: common: yaml file: params.yaml loaded successfully]
[2026-07-07 11:53:25,432: INFO: common: created directory at: artifacts]
[2026-07-07 11:53:25,434: INFO: common: created directory at: artifacts/data_transformation]
[2026-07-07 11:53:26,066: INFO: 3072091990: Data frame created successfully]
[2026-07-07 11:53:27,988: INFO: 3072091990: Vocab Size : 8782]
[2026-07-07 11:53:27,988: INFO: 3072091990: Max length of captions : 37]
[2026-07-07 11:53:27,988: INFO: common: yaml file: params.yaml loaded successfully]
[2026-07-07 11:58:09,981: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-07-07 11:59:20,406: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-07-07 11:59:20,412: INFO: common: yaml file: params.yaml loaded successfully]
[2026-07-07 11:59:20,419: INFO: common: created directory at: artifacts]
[2026-07-07 11:59:20,424: INFO: common: created directory at: artifacts/data_transformation]
[2026-07-07 11:59:21,148: INFO: 314189205: Data frame created successfully]
[2026-07-07 11:59:23,285: INFO: 314189205: Vocab Size : 8782]
[2026-07-07 11:59:23,285: INFO: 314189205: Max length of captions : 37]
[2026-07-07 11:59:23,292: INFO: common: yaml file: params.yaml loaded successfully]
[2026-07-07 11:59:23,300: INFO: 314189205: Params updated Sucessfully]
[2026-07-07 12:06:34,124: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-07-07 12:06:34,131: INFO: common: yaml file: params.yaml loaded successfully]
[2026-07-07 12:06:34,133: INFO: common: created directory at: artifacts]
[2026-07-07 12:06:34,136: INFO: common: created directory at: artifacts/data_transformation]
[2026-07-07 12:06:34,733: INFO: 314189205: Data frame created successfully]
[2026-07-07 12:06:36,684: INFO: 314189205: Vocab Size : 8782]
[2026-07-07 12:06:36,684: INFO: 314189205: Max length of captions : 37]
[2026-07-07 12:06:36,691: INFO: common: yaml file: params.yaml loaded successfully]
[2026-07-07 12:06:36,696: INFO: 314189205: Params updated Sucessfully]
[2026-07-07 12:06:36,700: INFO: common: Pickle file saved at: artifacts\data_transformation\vectorizer_data.pkl]
[2026-07-07 12:06:36,704: INFO: 314189205: Vectorizer Saved Sucessfully]
[2026-07-07 12:06:36,711: INFO: 314189205: Train images : 6472]
[2026-07-07 12:06:36,721: INFO: 314189205: Test images : 1619]
[2026-07-07 12:06:36,984: INFO: common: Pickle file saved at: artifacts\data_transformation\train_images_captions.pkl]
[2026-07-07 12:06:36,984: INFO: 314189205: Image captions dict saved]
[2026-07-07 12:06:37,059: INFO: common: Pickle file saved at: artifacts\data_transformation\test_images_captions.pkl]
[2026-07-07 12:06:37,059: INFO: 314189205: Image captions dict saved]
[2026-07-07 12:07:26,280: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-07-07 12:07:26,284: INFO: common: yaml file: params.yaml loaded successfully]
[2026-07-07 12:07:26,290: INFO: common: created directory at: artifacts]
[2026-07-07 12:07:26,293: INFO: common: created directory at: artifacts/prepare_base_model]
[2026-07-07 12:07:28,420: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2026-07-07 12:07:28,973: INFO: 791305037: Feature Extraction model saved]
[2026-07-07 12:07:29,630: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2026-07-07 12:07:29,723: INFO: 791305037: Main model saved]
[2026-07-07 18:04:22,598: INFO: main: >>>>>> stage Data_Ingestion_Stage started <<<<<<]
[2026-07-07 18:04:22,611: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-07-07 18:04:22,636: INFO: common: yaml file: params.yaml loaded successfully]
[2026-07-07 18:04:22,636: INFO: common: created directory at: artifacts]
[2026-07-07 18:04:22,636: INFO: common: created directory at: artifacts/data_ingestion]
[2026-07-07 18:04:22,645: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1X-l4QnuhIYMXm-Lgl2N0MO-xR75ly3OD/view?usp=sharing into file artifacts\data_ingestion\data.zip]
[2026-07-08 16:22:18,971: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-07-08 16:22:18,981: INFO: common: yaml file: params.yaml loaded successfully]
[2026-07-08 16:22:18,982: INFO: common: created directory at: artifacts]
[2026-07-08 16:22:18,984: INFO: common: created directory at: artifacts/training]
[2026-07-08 16:22:18,987: INFO: common: created directory at: artifacts/model_evaluation]
[2026-07-08 16:25:47,573: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-07-08 16:25:47,580: INFO: common: yaml file: params.yaml loaded successfully]
[2026-07-08 16:25:47,582: INFO: common: created directory at: artifacts]
[2026-07-08 16:25:47,582: INFO: common: created directory at: artifacts/training]
[2026-07-08 16:25:47,583: INFO: common: created directory at: artifacts/model_evaluation]
[2026-07-08 16:30:59,888: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-07-08 16:30:59,897: INFO: common: yaml file: params.yaml loaded successfully]
[2026-07-08 16:30:59,898: INFO: common: created directory at: artifacts]
[2026-07-08 16:30:59,899: INFO: common: created directory at: artifacts/training]
[2026-07-08 16:30:59,900: INFO: common: created directory at: artifacts/model_evaluation]
[2026-07-08 16:34:22,148: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-07-08 16:34:22,158: INFO: common: yaml file: params.yaml loaded successfully]
[2026-07-08 16:34:22,159: INFO: common: created directory at: artifacts]
[2026-07-08 16:34:22,159: INFO: common: created directory at: artifacts/training]
[2026-07-08 16:34:22,160: INFO: common: created directory at: artifacts/model_evaluation]
[2026-07-09 20:04:16,687: INFO: main: >>>>>> stage Data_Ingestion_Stage started <<<<<<]
[2026-07-09 20:04:16,703: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-07-09 20:04:16,707: INFO: common: yaml file: params.yaml loaded successfully]
[2026-07-09 20:04:16,708: INFO: common: created directory at: artifacts]
[2026-07-09 20:04:16,708: INFO: common: created directory at: artifacts/data_ingestion]
[2026-07-09 20:04:16,710: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1X-l4QnuhIYMXm-Lgl2N0MO-xR75ly3OD/view?usp=sharing into file artifacts\data_ingestion\data.zip]
[2026-07-09 20:15:07,369: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1X-l4QnuhIYMXm-Lgl2N0MO-xR75ly3OD/view?usp=sharing into file artifacts\data_ingestion\data.zip]
[2026-07-09 20:15:25,703: INFO: main: >>>>>> stage Data_Ingestion_Stage completed <<<<<<

x==========x]
[2026-07-09 20:15:25,703: INFO: main: *******************]
[2026-07-09 20:15:25,703: INFO: main: >>>>>> stage Data_Transformation_Stage started <<<<<<]
[2026-07-09 20:15:25,714: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-07-09 20:15:25,717: INFO: common: yaml file: params.yaml loaded successfully]
[2026-07-09 20:15:25,717: INFO: common: created directory at: artifacts]
[2026-07-09 20:15:25,717: INFO: common: created directory at: artifacts/data_transformation]
[2026-07-09 20:15:26,395: INFO: data_transformation: Data frame created successfully]
[2026-07-09 20:15:27,996: INFO: data_transformation: Vocab Size : 8782]
[2026-07-09 20:15:27,996: INFO: data_transformation: Max length of captions : 37]
[2026-07-09 20:15:28,012: INFO: common: yaml file: params.yaml loaded successfully]
[2026-07-09 20:15:28,018: INFO: data_transformation: Params updated Sucessfully]
[2026-07-09 20:15:28,116: INFO: common: Pickle file saved at: artifacts\data_transformation\vectorizer_data.pkl]
[2026-07-09 20:15:28,116: INFO: data_transformation: Vectorizer Saved Sucessfully]
[2026-07-09 20:15:28,138: INFO: data_transformation: Train images : 6472]
[2026-07-09 20:15:28,138: INFO: data_transformation: Test images : 1619]
[2026-07-09 20:15:28,315: INFO: common: Pickle file saved at: artifacts\data_transformation\train_images_captions.pkl]
[2026-07-09 20:15:28,317: INFO: data_transformation: Image captions dict saved]
[2026-07-09 20:15:28,361: INFO: common: Pickle file saved at: artifacts\data_transformation\test_images_captions.pkl]
[2026-07-09 20:15:28,363: INFO: data_transformation: Image captions dict saved]
[2026-07-09 20:15:28,369: INFO: main: >>>>>> stage Data_Transformation_Stage completed <<<<<<

x==========x]
[2026-07-09 20:15:28,369: INFO: main: *******************]
[2026-07-09 20:15:28,369: INFO: main: >>>>>> stage Prepare_Base_Model_Stage started <<<<<<]
[2026-07-09 20:15:28,373: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-07-09 20:15:28,376: INFO: common: yaml file: params.yaml loaded successfully]
[2026-07-09 20:15:28,378: INFO: common: created directory at: artifacts]
[2026-07-09 20:15:28,379: INFO: common: created directory at: artifacts/prepare_base_model]
[2026-07-09 20:15:31,171: WARNING: config: TensorFlow GPU support is not available on native Windows for TensorFlow >= 2.11. Even if CUDA/cuDNN are installed, GPU will not be used. Please use WSL2 or the TensorFlow-DirectML plugin.]
[2026-07-09 20:15:31,370: INFO: prepare_base_model: Feature Extraction model saved]
[2026-07-09 20:15:32,147: INFO: prepare_base_model: Main model saved]
[2026-07-09 20:15:32,147: INFO: main: >>>>>> stage Prepare_Base_Model_Stage completed <<<<<<

x==========x]
